0,1
"[ 627  207    9  627  284   66 2744    1    0    0    0    0    0    0
    0    0    0    0    0]",0
"[628  13 153 301 431 629 454 630   0   0   0   0   0   0   0   0   0   0
   0]",0
"[ 302 1014  139  599   33 2033   20    7  267    0    0    0    0    0
    0    0    0    0    0]",0
"[ 93   9  51 631 934 145 243  84   0   0   0   0   0   0   0   0   0   0
   0]",1
"[103  13  96  10 632  20 244  47 862   0   0   0   0   0   0   0   0   0
   0]",0
"[2034  757  758  303  715 2035 1509  376  716 1121    3  661    1    0
    0    0    0    0    0]",0
"[ 268 1510    5  432    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0]",0
"[  4 208   4 377 935   0   0   0   0   0   0   0   0   0   0   0   0   0
   0]",0
"[   3  662  209  812  936  863 1346  326 1722 1511  813   66    1    0
    0    0    0    0    0]",1
"[ 937 1723    9   52  938   68   90  717  537   66  119    0    0    0
    0    0    0    0    0]",1
"[1015 2745 2036 1724  378  455    1    1    0    0    0    0    0    0
    0    0    0    0    0]",1
"[ 414  379 1212   42  538 1016  939  718  304  131  814  483    0    0
    0    0    0    0    0]",1
"[ 940  285 1725  940 1512    1    0    0    0    0    0    0    0    0
    0    0    0    0    0]",0
"[380  99  56   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0]",1
"[759  58 568 305   1   0   0   0   0   0   0   0   0   0   0   0   0   0
   0]",1
"[  29   10  760  190  163  124  864 1347  326    1    0    0    0    0
    0    0    0    0    0]",0
"[663 257   2  61   6  52   0   0   0   0   0   0   0   0   0   0   0   0
   0]",0
"[ 48 327 415  35   6 761 664 245   0   0   0   0   0   0   0   0   0   0
   0]",0
"[  52  178 1726  665   68  219    0    0    0    0    0    0    0    0
    0    0    0    0    0]",0
"[  16  125  351   11 1727 1728 2477  246 1213    0    0    0    0    0
    0    0    0    0    0]",1
"[ 381  247    6 1348   56  306    1    1    0    0    0    0    0    0
    0    0    0    0    0]",1
"[1214  941    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0]",0
"[  50 2037  352  140    7  511    0    0    0    0    0    0    0    0
    0    0    0    0    0]",0
"[   4 1349  228    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0]",0
[36 35  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
"[1017  633   74 1350 1513 1729 1018 1730    1    0    0    0    0    0
    0    0    0    0    0]",1
"[ 328   24    2  191  762  763    3  141    3 2038   40 1019  764    0
    0    0    0    0    0]",1
"[ 815 2039  307  329 2040   59    1    0    0    0    0    0    0    0
    0    0    0    0    0]",1
"[ 484  192  433  942 1514  512 1515  816 1020    1    0    0    0    0
    0    0    0    0    0]",0
"[  4 569 308  63 140 765   4 104 935   0   0   0   0   0   0   0   0   0
   0]",0
"[570   4 193  81   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0]",0
"[2746  416  139 1122  630  456    0    0    0    0    0    0    0    0
    0    0    0    0    0]",0
"[ 229  194 1731 2478  105    6  194    0    0    0    0    0    0    0
    0    0    0    0    0]",0
"[146 943 220   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0]",0
"[  23   34  382 2041 1351    0    0    0    0    0    0    0    0    0
    0    0    0    0    0]",1
"[ 35 383  58  35   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0]",1
"[ 330  195  381   82 1516 1732    1    0    0    0    0    0    0    0
    0    0    0    0    0]",1
"[ 64 309 539   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0]",1
"[ 353   41  415 2042    1    0    0    0    0    0    0    0    0    0
    0    0    0    0    0]",1
"[384  36 944 764 113   0   0   0   0   0   0   0   0   0   0   0   0   0
   0]",0
"[ 540 1517    1    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0]",0
"[ 865  541   24 1733  434 2043    0    0    0    0    0    0    0    0
    0    0    0    0    0]",1
"[  47  719  114  766  945    4 1123 1124 1125    0    0    0    0    0
    0    0    0    0    0]",0
"[2044 2045 2044  258   71 2046   81    0    0    0    0    0    0    0
    0    0    0    0    0]",0
"[1734  946 2047   23  154  817   44    1    0    0    0    0    0    0
    0    0    0    0    0]",1
"[ 23 124 142 435 378 210   3 666   1   0   0   0   0   0   0   0   0   0
   0]",1
"[ 571  572  132 1215  100 1216   58   67    1    0    0    0    0    0
    0    0    0    0    0]",1
"[ 163 1217 1518    9   47 1735  106    0    0    0    0    0    0    0
    0    0    0    0    0]",0
"[385  43   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0]",0
"[  68  634  542  543  720 2479    1   12    0    0    0    0    0    0
    0    0    0    0    0]",1
